jarak,ketinggian
-44.2548364469669,-73525081.47352406
-44.7411533309995,-75966493.05669814
-45.227470215032106,-78461359.35002348
-45.7137870990647,-81010259.22657998
-46.20010398309731,-83613771.55944775
-46.68642086712991,-86272475.22170675
-47.172737751162515,-88986949.08643694
-47.65905463519512,-91757772.02671832
-48.14537151922772,-94585522.91563086
-48.63168840326033,-97470780.62625459
-49.11800528729293,-100414124.03166942
-49.604322171325535,-103416132.00495543
-50.09063905535814,-106477383.41919255
-50.576955939390736,-109598457.14746076
-51.06327282342334,-112779932.06284012
-51.549589707455944,-116022387.03841056
-52.03590659148855,-119326400.94725211
-52.52222347552115,-122692552.66244471
-53.008540359553756,-126121421.0570684
-53.49485724358636,-129613585.0042031
-53.981174127618964,-133169623.37692884
-54.46749101165157,-136790115.04832563
-54.95380789568417,-140475638.8914734
-55.44012477971677,-144226773.77945212
-55.92644166374937,-148044098.58534193
-56.412758547781976,-151928192.18222266
-56.89907543181458,-155879633.44317445
-57.385392315847184,-159899001.24127713
-57.87170919987979,-163986874.44961074
-58.35802608391239,-168143831.94125533
-58.844342967944996,-172370452.5892908
-59.3306598519776,-176667315.2667972
-59.816976736010204,-181034998.8468545
-60.3032936200428,-185474082.20254263
-60.789610504075405,-189985144.20694172
-61.27592738810801,-194568763.73313162
-61.76224427214061,-199225519.65419245
-62.24856115617322,-203955990.84320402
-62.73487804020582,-208760756.17324647
-63.221194924238425,-213640394.5173998
-63.70751180827103,-218595484.74874383
-64.19382869230363,-223626605.74035868
-64.68014557633623,-228734336.36532435
-65.16646246036883,-233919255.49672073
-65.65277934440144,-239181942.00762793
-66.13909622843404,-244522974.7711259
-66.62541311246665,-249942932.6602946
-67.11172999649925,-255442394.548214
-67.59804688053185,-261021939.30796412
-68.08436376456446,-266682145.812625
-68.57068064859706,-272423592.9352765
-69.05699753262967,-278246859.5489987
-69.54331441666227,-284152524.52687156
-70.02963130069487,-290141166.7419751
-70.51594818472748,-296213365.0673893
-71.00226506876008,-302369698.3761941
-71.48858195279269,-308610745.5414696
-71.97489883682528,-314937085.43629545
-72.46121572085788,-321349296.9337521
-72.94753260489048,-327847958.9069193
-73.43384948892309,-334433650.2288772
-73.92016637295569,-341106949.7727055
-74.4064832569883,-347868436.4114844
-74.8928001410209,-354718689.018294
-75.3791170250535,-361658286.466214
-75.86543390908611,-368687807.6283245
-76.35175079311871,-375807831.37770563
-76.83806767715132,-383018936.5874371
-77.32438456118392,-390321702.13059914
-77.81070144521652,-397716706.8802717
-78.29701832924913,-405204529.70953465
-78.78333521328173,-412785749.491468
-79.26965209731434,-420460945.09915197
-79.75596898134694,-428230695.40566623
-80.24228586537954,-436095579.2840909
-80.72860274941215,-444056175.607506
-81.21491963344475,-452113063.2489915
-81.70123651747734,-460266821.0816271
-82.18755340150994,-468518027.97849345
-82.67387028554255,-476867262.81267005
-83.16018716957515,-485315104.457237
-83.64650405360776,-493862131.7852744
-84.13282093764036,-502508923.669862
-84.61913782167296,-511256058.9840799
-85.10545470570557,-520104116.6010081
-85.59177158973817,-529053675.39372665
-86.07808847377078,-538105314.2353154
-86.56440535780338,-547259611.9988546
-87.05072224183598,-556517147.557424
-87.53703912586859,-565878499.7841035
-88.02335600990119,-575344247.5519733
-88.5096728939338,-584914969.7341133
-88.9959897779664,-594591245.2036036
-89.482306661999,-604373652.833524
-89.96862354603161,-614262771.4969547
-90.45494043006421,-624259180.0669755
-90.94125731409682,-634363457.4166665
-91.4275741981294,-644576182.4191072
-91.91389108216201,-654897933.9473786
-92.40020796619461,-665329290.8745599
-92.88652485022722,-675870832.0737314
-93.37284173425982,-686523136.4179732
-93.85915861829243,-697286782.7803649
-94.34547550232503,-708162350.0339867
-94.83179238635763,-719150417.0519185
-95.31810927039024,-730251562.7072405
-95.80442615442284,-741466365.8730325
-96.29074303845545,-752795405.4223745
-96.77705992248805,-764239260.2283466
-97.26337680652065,-775798509.1640285
-97.74969369055326,-787473731.1025006
-98.23601057458586,-799265504.9168427
-98.72232745861847,-811174409.4801347
-99.20864434265107,-823201023.6654569
-99.69496122668367,-835345926.3458887
-100.18127811071628,-847609696.3945107
-100.66759499474887,-859992912.6844022
-101.15391187878147,-872496154.0886439
-101.64022876281408,-885119999.4803158
-102.12654564684668,-897865027.7324973
-102.61286253087928,-910731817.7182685
-103.09917941491189,-923720948.3107101
-103.58549629894449,-936832998.3829012
-104.0718131829771,-950068546.8079225
-104.5581300670097,-963428172.4588532
