jarak,ketinggian
73.31704489770942,77439022.66557446
73.74084284509503,78792782.37992628
74.16464079248063,80162228.06012645
74.58843873986623,81547450.05961797
75.01223668725184,82948538.73184371
75.43603463463744,84365584.43024662
75.85983258202305,85798677.50826971
76.28363052940865,87247908.31935586
76.70742847679425,88713367.21694799
77.13122642417986,90195144.55448912
77.55502437156547,91693330.68542215
77.97882231895106,93208015.96318997
78.40262026633667,94739290.74123561
78.82641821372228,96287245.373002
79.25021616110787,97851970.21193199
79.67401410849348,99433555.61146863
80.09781205587909,101032091.9250548
80.52161000326468,102647669.50613344
80.94540795065029,104280378.70814753
81.36920589803589,105930309.88453996
81.7930038454215,107597553.38875376
82.2168017928071,109282199.5742318
82.6405997401927,110984338.79441698
83.0643976875783,112704061.40275237
83.48819563496392,114441457.75268081
